2
№	Хийгдсэн ажил	Гүйцэтгэгч	Төсөв
2013
1	Засвар (хорооны байр)	"Талст өндөрлөг"ХХК	 49,745,085.00
2	Тоглоомын талбай (4ш)	"Түдэвтэй Уул" ХХК	 56,330,738.00
3	Засвар (орц, кодтой хаалга)	"Цахирт Ану" ХХК	 89,218,709.00
4	Худалдан авалт (кабелийн телевизийн тоног төхөөрөмж)	"Аронт" ХХК	 31,703,700.00
5	Худалдан авалт (соёлын төвд зөөврийн тоног төхөөрөмж)	"Тэргүүн гарц" ХХК	 10,000,000.00
6	Барилга, дэд бүтэц сайжруулалт (эрчим хүчний шугам татах)	"Хайрхан Наран Трейд" ХХК	 121,219,075.00
7	Гэрэлтүүлэг	"Ди Эс Эй" ХХК	 28,515,977.00
8	Камержуулалт	"Алтан Электроникс"ХХК	 19,787,800.00
9	Тохижилт (орчны)	"Мөнхийн Үргэлжлэл"ХХК	 312,268,232.00
	Нийт 		 718,789,316.00
2014
1	Засвар (байрны дулаалга)	"Талст өндөрлөг"ХХК	 170,076,850.00
2	Автобусны буудал	"Лаки Комфорт"ХХК	 33,852,360.00
3	Тоглоомын талбай (3ш)	"Сутай Сарьдаг"ХХК	 79,181,800.00
4	Худалдан авалт (ус цэвэршүүлэх төхөөрөмж)	"Рутан"ХХК	 77,500,000.00
	Нийт 		 360,611,010.00
2015
1	Засвар (байрны дээвэр)	 "Вертекс талст"ХХК	 77,273,535.00
2	Засвар (байрны фасад)	"Талст Өндөрлөг"ХХК	 54,202,995.00
3	Худалдан авалт (ялтсан бойлуур)	"Хэмжилзүй"ХХК	 80,000,000.00
4	Засвар (спорт заал) 	"Мятав"ХХК	 10,000,000.00
5	Засвар (соёлын төв)	"Хангайн Бат Алтай" ХХК	 10,000,000.00
6	Худалдан авалт (номын сангийн фонд)	"Интер ном" ХХК	 10,000,000.00
7	Тохижилт (гэр хорооллын орчны)	"Нарт Хангай" иргэдийн бүлэг	 15,000,000.00
8	Тохижилт (гэр хорооллын орчны)	"Жаргалант Булаг" иргэдийн бүлэг	 15,000,000.00
9	Засвар (тоглоомын талбай)	"Бид хамтдаа" иргэдийн бүлэг	 15,000,000.00
10	Засвар (орцны үүдний талбай)	"Алтангадас" иргэдийн бүлэг	 10,000,000.00
11	Тохижилт (камерын хяналтын өрөө)	"Юуком"ХХК	 80,000,000.00
12	Авто зогсоол	"Өргөн говь"ХХК	 70,000,000.00
13	Тохижилт (гэр хорооллын орчны)	"Эв нэгдэл" иргэдийн бүлэг	 15,000,000.00
14	Засвар (подвалын иж бүрэн)	"Буурал Сутай"ХХК	 74,300,000.00
	Нийт 		 535,776,530.00
	БҮГД ДҮН 		 1,615,176,856.00 
