7
№	Хийгдсэн ажил	Гүйцэтгэгч	Төсөв
2013
1	Гэрэлтүүлэг	"Баянцэц' ХХК	 95,053,200.00
2	Эрх зүйн туслалцааны төв	"Айзар Зоне" ХХК	 43,947,193.00
	Нийт		 139,000,393.00
2014
1	Гэрэлтүүлэг	"Хангай Энержис" ХХК	 217,000.00
2	Явган хүний шат		 18,000,000.00
3	Явган хүний шат		 14,400,000.00
4	Худаг (төв шугамд холбогдсон)		 24,004,400.00
	Нийт		 56,621,400.00
2015
1	Явган хүний зам 	 -   	 -
2	Явган хүний зам 	 -   	 -
3	Явган хүний зам	"Эв нэгдэл" ИБ	 20,000,000.00
4	Явган хүний зам	"Дөрвөн бэрх" ИБ	 20,000,000.00
5	Явган хүний зам 	"Бүтээлч иргэд" ИБ	 20,000,000.00
6	Гэрэлтүүлэг (хийгдэж байгаа)	 -   	 154,958,000.00
	Нийт
	БҮГД ДҮН
9
№	Хийгдсэн ажил	Гүйцэтгэгч	Төсөв
2013
1	Гэрэлтүүлэг		127,708,300
	Нийт		127,708,300
2014
1	Сайжруулсан шороон зам (дутуу хийгдсэн, хүлээж аваагүй)	"Монгол Сата Интермишел" ХХК	 81,868,300.00
2	Сайжруулсан шороон зам	"Межи Стройл" ХХК	 55,909,000.00
3	Сайжруулсан шороон зам 	"Монгол Сата" ХХК	 19,619,900.00
	Нийт		 157,397,200.00
2015
1	Барилга, дэд бүтэц сайжруулалт (цэцэрлэгийн өргөтгөл)	"Изо хаус" ХХК	 124,000,000.00
	Нийт		 124,000,000.00
	БҮГД ДҮН 		 409,105,500.00
12
№	Хийгдсэн ажил	Гүйцэтгэгч	Төсөв
2013
1	Барилга, дэд бүтцийн сайжруулалт (цахилгааны шит)		 -
2	Явган хүний зам	Төгс Орчин ХХК	 50,000,000.00
3	Сагсан бөмбөгийн талбай	Их Галдайн Оргил ХХК	 58,000,000.00
4	Сагсан бөмбөгийн талбай	Түдэвтэй Уул ХХК	 53,347,671.00
	Нийт
2014
1	Худаг (зөөврийн)	"Өндөр Хайрхан Дулаан" ХХК	 35,000,000.00
2	Тоглоомын талбай	"Эм Ти Эм Жи" ХХК	 100,000,000.00
3	Тоглоомын талбай 	"Цагаан Зуун" ХХК	 100,000,000.00
4	Гэрэлтүүлэг	0	 57,013,800.00
	Нийт		 292,013,800.00
2015
1	Явган хүний зам	"Ногоон орчин бидний ирээдүй" ИБ	 21,850,000.00
2	Явган хүний зам	"Ногоон орчин бидний ирээдүй" ИБ	 15,000,000.00
3	Явган хүний зам	"Гэрэлт ирээдүй" ИБ	 20,805,400.00
	Нийт		 57,655,400.00
	БҮГД ДҮН
15
№	Хийгдсэн ажил	Гүйцэтгэгч	Төсөв
2013
1	Гэрэлтүүлэг	"Филепс" ХХК	 125,000,000.00
	Нийт		 125,000,000.00
2014
1	Явган хүний зам	0	 36,108,300.00
2	Гэрэлтүүлэг	"Торгон Зүлэг" ХХК	 127,531,000.00
	Нийт		 163,639,300.00
2015
1	Явган хүний зам	"Бидний Хайлааст" ИБ	 16,000,000.00
2	Явган хүний зам	"Хөгжил" ИБ	 20,000,000.00
3	Хаягжуулалт	"Саруул Хайлааст" ИБ	 20,000,000.00
4	Хаягжуулалт	"Саруул Хайлааст" ИБ	 20,000,000.00
5	Хаягжуулалт	"Хайрхан" ИБ	 20,000,000.00
6	Гэрэлтүүлэг		 50,012,000.00
	Нийт 		 146,012,000.00
	БҮГД ДҮН 		 434,651,300.00
18
№	Хийгдсэн ажил	Гүйцэтгэгч	Төсөв
2013
1	Гэрэлтүүлэг		 157,605,700.00
2	Явган хүний зам	"Танан Хорол" ХХК	 15,000,000.00
3	Сайжруулсан шороон зам	"Танан Хорол" ХХК	 6,000,000.00
	Нийт		 178,605,700.00
2014
1	Гэрэлтүүлэг	0	 167,000,000.00
2	Сайжруулсан шороон зам	"Буман Заг" ХХК	 15,000,000.00
3	Явган хүний зам	"Цаст Трак" ХХК	 20,829,163.00
	Нийт		 202,829,163.00
2015
1	Тохижилт (рашааны эх хамгаалах)	"Хүчил төрөгч" ИБ	 16,000,000.00
2	Барилга, дэд бүтэц сайжруулалт (ус зайлуулах шуудуу)	"Бүтээлч" ИБ	 17,000,000.00
	Нийт		 33,000,000.00
	БҮГД ДҮН 		 414,434,863.00 
