4
№	Хийгдсэн ажил	Гүйцэтгэгч	Төсөв
2013
1	Тохижилт (хорооны гадна талбай)	"Их Мандаат" ХХК	 32,700,000.00
2	Гэрэлтүүлэг	"Спейшл Тим Ап" ХХК	 7,997,689.00
3	Засвар (номын сан)	"Голден Прогресс" ХХК	 18,500,000.00
	Нийт		 59,197,689.00
2014
1	Явган хүний зам	"Баянбогд Сончин" ХХК 	 19,710,767.00
2	Нийтийн бие засах газар 	"Номин Хөрс" Иргэдийн бүлэг 	 9,701,284.00
	Нийт		 29,412,051.00
2015
1	Засвар (сургуулийн хашаа) хийгдэж байгаа	"Эвсэл Иргэдийн" бүлэг	 19,831,495.00
2	Тохижилт (гудамжны)	ХХК	 21,191,300.00
3	Хаягжуулалт		 20,000,000.00
	Нийт		 61,022,795.00
	БҮГД ДҮН 		 149,632,535.00
6
№	Хийгдсэн ажил	Гүйцэтгэгч	Төсөв
2013
1	Тохижилт (машины зогсоол)	"Рейл Роуд Оф Монголиа" ХХК	 47,887,721.00
2	Тохижилт (гудамжны)	"Бишрэлт Түмэн Хаан" ХХК	 7,975,190.00
3	Гэрэлтүүлэг	"Спейшл Тим Ап" ХХК	 12,000,000.00
	Нийт		 67,862,911.00
2014
1	Сайжруулсан шороон зам	"Буман заг" ХХК	 55,973,004.00
2	Сагсан бөмбөгийн талбай	"Хөгжил Иргэдийн" бүлэг	 16,334,447.00
	Нийт		 72,307,451.00
2015
1	Хаягжуулалт	"Нүхт хөгжил" Иргэдийн бүлэг	 17,954,417.00
	Нийт		 17,954,417.00
	БҮГД ДҮН 		 158,124,779.00
12
№	Хийгдсэн ажил	Гүйцэтгэгч	Төсөв
2013
1	Тоглоомын талбай	"Жавхлант тур" ХХК	 34,426,148.00
2	Засвар (гүүр)	"Чадавхи" бүлэг 	 14,729,023.00
3	Засвар (гүний худаг) эвдэрсэн	"Тэнхлэг ус" ХХК	 9,999,834.00
4	Ногоон байгууламж	"Био Алтан өндөг" иргэдийн бүлэг	 6,000,000.00
5	Засвар (ахмадын төв)	"Скайбросс" ХХК	 5,000,000.00
	Нийт		 70,155,005.00
2014
1	Засвар (байрны фасад)	"Марзнуга" ХХК	 39,338,896.00
	Нийт		 39,338,896.00
2015
1	Тоглоомын талбай	ХХК	 10,000,000.00
	Нийт		 10,000,000.00
	БҮГД ДҮН 		 119,493,901.00
16
№	Хийгдсэн ажил	Гүйцэтгэгч	Төсөв
2013
1	Засвар (амралтын талбай)	"Энх Ариун мөрөн" ХХК	 24,611,450.00
2	Сагсан бөмбөгийн талбай	"Их Хаад"  ХХК	 24,755,110.00
	Нийт		 49,366,560.00
2014
1	Тохижилт (хорооны гадна талбай)	"Од Орд" ХХК	 45,105,700.00
2	Хаягжуулалт	"Хөлөг" Иргэдийн бүлэг	 18,500,416.00
3	Худаг (зөөврийн)	"Экбис" ХХК	 24,939,028.00
	Нийт		 88,545,144.00
2015
1	Мэдээллийн самбар		 5,410,300.00
2	Засвар (гудамжны зам)	"Эко Орчин" ХХК	 59,000,000.00
	Нийт		 64,410,300.00
	БҮГД ДҮН		 202,322,004.00 
